Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Program,Trash Collection Type,Trash Collection Method,Trash Disposal Tonnage,Bulky Waste,School Waste,Municipal Building Waste,Commercial Waste,Other Waste,Recycling Collection Type,Recycling Collection Method,Recycling - Dual or Single Stream,Recycling Tonnage
Cheshire,Rick Salvi,1367,1000,Drop off,,898,Y,,Y,,,Drop off,,Dual stream,141
CHESTER,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Chesterfield,Eric Weiss,500,500,Drop off,,165,Y,Y,Y,Y,,Drop off,,Dual stream,108
Chicopee,Barry Brouillard,24320,18800,Curbside,,15800,,,Y,Y,,Curbside,,Dual stream,2933
CHILMARK,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Clarksburg,Carl Mckinney,659,0,Drop-off,,0,,,,,Private subscription only.  No municipal program.,Drop-off,,Dual stream,0
Clinton,Michael J. Ward,5896,3742,Curbside,,2185,,Y,Y,,,Drop off,,,375
Cohasset,Carl Sestito,2861,2705,Drop off,,1509,,Y,Y,Y,,Drop off,,,846
Colrain,Jan Ameen,600,450,Drop off,,214,,,,,,Drop off,,Dual stream,127
Concord,Rod Robison,5100,3332,Curbside,,2383,,Y,Y,,,Curbside,,Dual stream,2411
Conway,Jan Ameen,661,661,Drop off,,497,,,,,,Drop off,,Dual stream,216
Cummington,Eric Weiss,400,400,Drop off,,239,Y,,Y,Y,,Drop off,,Dual stream,132
DALTON,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Danvers,Martha Duffield,10607,7300,Curbside,,8140,Y,Y,Y,,"Bulky waste includes furniture, but not metal or TV's",Curbside,,Dual stream,2026
DARTMOUTH,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Dedham,Virginia Leclair,8892,7808,Curbside,Automated,8034,Y,Y,Y,,,Curbside,Automated,Dual stream,1616
Deerfield,Jan Ameen,1705,1145,Drop off,,1146,,,,,,Drop off,,Dual stream,404
Dennis,David Johansen,13439,4327,Drop off,,7984,Y,,Y,Y,,Drop off,,Dual stream,1474
Devens,Joseph A. Giuliano,206,0,Drop-off,,81,Y,,Y,Y,,Drop off,,Dual stream,39
DIGHTON,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Douglas,Marleen Bacon,2945,1330,Drop-off,,968,Y,,Y,,,Drop-off,,Single stream,181
DOVER,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Dracut,Matt Zettek,11148,9890,Curbside,,11876,Y,Y,Y,,,Curbside,,Dual stream,1974
DUDLEY,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
